Project_Description,Budget,Website,GitHub Url,Twitter Url
,$432,https://github.com/react-toolbox/react-toolbox,,
,$595,http://verdigrismusic.org/,,https://twitter.com/verdigrisensemb
Empowering community cooperation for a fair and sustainable future in Western North Carolina.,"$1,128",http://www.meetup.com/AVL-Futures/,,
"The Drupal community in, and around, Utah.","$1,561",http://drupalutah.org/,,https://twitter.com/drupalutah
"Concise, consistent, and legible badges… in a readme near you.","$1,557",https://github.com/badges/shields,,https://twitter.com/Shields_io
,$0,http://foodforthoughtargentina.org/,,https://twitter.com/_F_4_T_
WWCode is a global non-profit organization that inspires women to excel in technology careers.,"$1,193",https://twitter.com/wwcodeaccra,,https://twitter.com/wwcodeaccra
Fact-checking collaboratif en temps réel,"€2,475",https://captainfact.io/,https://github.com/CaptainFact,https://twitter.com/CaptainFact_io
,"$2,641",https://github.com/nim-lang/Nim,,
100% community-built,"$1,066",https://github.com/codebuddies/codebuddies,,https://twitter.com/codebuddiesmeet
La Primaire Ouverte pour les élections Présidentielles de 2017,€135,http://laprimaire.org/,,https://twitter.com/democratech
Module for Node.js applications to allow easy as cake email sending,"$1,355",https://nodemailer.com/about/,,https://twitter.com/NodemailerJS
WWCode is a global non-profit organization that inspires women to excel in technology careers.,"$1,118",https://twitter.com/WWCodeVinnytsia,,https://twitter.com/WWCodeVinnytsia
"GENIE is a community funded organization that exists to help Columbia River Gorge communities navigate change, together. We design a public network map and collaborative events to make key information more readily available to those who need it.",$396,https://www.gorge-genie.org/,,
We meet regularly in San Francisco and sometimes beyond to discuss how tech is used for social change,"$1,086",http://www.sftech4good.org/,,https://twitter.com/sftech4good
,€0,,,
,"$1,058",https://github.com/WebReflection/document-register-element,,
A powerful library for creating user interfaces by writing reactive HTML templates.,$170,http://blazejs.org/,,
MahApps.Metro is a framework that allows developers to cobble together a Metro or Modern UI for their own WPF applications with minimal effort.,"$1,597",https://mahapps.com/,https://github.com/MahApps/MahApps.Metro,https://twitter.com/punker76
WWCode is a global non-profit organization that inspires women to excel in technology careers.,A$560,https://twitter.com/wwcsyd,,https://twitter.com/wwcsyd
Allure Framework is a flexible lightweight multi-language test report tool,$948,http://allure.qatools.ru/,,https://twitter.com/QametaSoftware
Next generation web framework for node.js,$450,http://koajs.com/,,
"Tech4Good SWFL brings together nonprofits and activists, tech leaders and funders, and everyone who's interested in using technology for social change.","$1,224",http://tech4goodswfl.org/,,https://twitter.com/t4swfl
"Whether you're an experienced Drupalist, or you've just heard about Drupal from a friend, the STLDUG's monthly meetups aim to be a place where people from all backgrounds can come and learn more about various topics related to Drupal.","$1,026",https://www.meetup.com/drupalstl/,,https://twitter.com/drupalstl
WWCode is a global non-profit organization that inspires women to excel in technology careers.,A$540,https://twitter.com/wwcodebrisbane,,https://twitter.com/wwcodebrisbane
WWCode is a global non-profit organization that inspires women to excel in technology careers.,"$1,000",,,
"OpenMined is an open-source community focused on researching, developing, and promoting tools for secure, privacy-preserving, value-aligned artificial intelligence.","$1,143",https://www.openmined.org/,,https://twitter.com/openminedorg
A lightweight library for converting complex objects to and from simple Python datatypes.,"$1,299",,https://github.com/marshmallow-code,
,$990,https://gitlab.com/scion-scxml,,
Creating worldwide visibility for social businesses through film production and story telling.,"€1,414",https://instagram.com/azsocialbusiness,,
Phenomic is a modern & modular website compiler,$155,https://phenomic.io/,,https://twitter.com/Phenomic_app
Spread ideas unTeal the world changes !,"€1,119",http://reinventingorganizationswiki.com/,,
Modal editing for the future,"$1,051",http://onivim.io/,,https://twitter.com/oni_vim
,"€1,034",http://www.burgerlijst.be/,,https://twitter.com/burgerlijst
,$943,,,
