Project Name,No of Backers,Project Link
date-fns,6,https://opencollective.com/date-fns
bedrock,€840,https://opencollective.com/bedrock
NUSMods,2,https://opencollective.com/nusmods
Polar,2,https://opencollective.com/polar-bookshelf
SOCIALMARKET.com,€467,https://opencollective.com/opencoop
opal,15,https://opencollective.com/opal
javascript-obfuscator,€434,https://opencollective.com/javascript-obfuscator
FountainJS,2,https://opencollective.com/fountainjs
WWCode Melbourne,3,https://opencollective.com/wwcodemelbourne
opsdroid,$633,https://opencollective.com/opsdroid
Norwich Sharing City,9,https://opencollective.com/norwichsharingcity
Origin Club,$68,https://opencollective.com/originclub
tellform,8,https://opencollective.com/tellform
LolaShare,$446,https://opencollective.com/lolashare
React Denver,1,https://opencollective.com/react-denver
Clipy,$435,https://opencollective.com/clipy
.ignore,1,https://opencollective.com/ignore
redis-oplog,$435,https://opencollective.com/redis-oplog
Sounds and Colors Radio,1,https://opencollective.com/soundsandcolors
Expo CLI,$435,https://opencollective.com/expo-cli
linter,1,https://opencollective.com/linter
WECO.IO,$435,https://opencollective.com/weco
XoopsCore,1,https://opencollective.com/xoopscore
MongoKitten,$435,https://opencollective.com/mongokitten
WordPress Gwinnett,1,https://opencollective.com/wordpress-gwinnett
react-spring,$435,https://opencollective.com/react-spring
LimaJS,1,https://opencollective.com/limajs
SimplyTest.me,$435,https://opencollective.com/simplytestme
Collectif Monnaie Libre,14,https://opencollective.com/monnaie-libre
emotion,€298,https://opencollective.com/emotion
Trill,10,https://opencollective.com/trill
Cheese.lab Industries,€15,https://opencollective.com/cheeselab
Kivy,1,https://opencollective.com/kivy
cockpit,€0,https://opencollective.com/cockpit
pnpm,2,https://opencollective.com/pnpm
electron-react-boilerplate,$420,https://opencollective.com/electron-react-boilerplate-594
Mastodon.me.uk,7,https://opencollective.com/mastodon-me-uk
OpenJSCAD.org,€415,https://opencollective.com/openjscad
ElectricSheep Podcast,10,https://opencollective.com/electricsheep
Queen City Hacks,$147,https://opencollective.com/queencityhacks
De Burgers van Grobbendonk en Bouwel,25,https://opencollective.com/de-burgers-van-grobbendonk-en-bouwel
Boulder React Meetup,$463,https://opencollective.com/boulder-react-meetup
PyPy,1,https://opencollective.com/pypy
imaginary,$419,https://opencollective.com/imaginary
ransack,2,https://opencollective.com/ransack
Bludit,$494,https://opencollective.com/bludit
dat,8,https://opencollective.com/dat
ELMS: Learning Network,$446,https://opencollective.com/elmsln
isomorphic-git,3,https://opencollective.com/isomorphic-git
ng-toolkit,$242,https://opencollective.com/ng-toolkit
electron-react-boilerplate,13,https://opencollective.com/electron-react-boilerplate
WWCode Paris,$55,https://opencollective.com/wwcodeparis
vis.js,4,https://opencollective.com/vis
GameCraft,$145,https://opencollective.com/gamecraft-foundation-clg
Foodfightvt,1,https://opencollective.com/foodfightvt
ifme,$375,https://opencollective.com/ifme
Paris.js,4,https://opencollective.com/parisjs
Operation Code Hampton Roads,$285,https://opencollective.com/operationcodehr
Altair GraphQL Client,3,https://opencollective.com/altair
docsify,$372,https://opencollective.com/docsify
CameraKit-Android,1,https://opencollective.com/camerakit-android
FreshOS,4,https://opencollective.com/freshos
Colyseus,$405,https://opencollective.com/colyseus
Auto-Keras,12,https://opencollective.com/autokeras
d3.js Bay Area,$475,https://opencollective.com/d3bayarea
WWCode Al-Jazair,3,https://opencollective.com/wwcodealjazair
